recipe,ingredients
Brown Windsor soup,"[lamb and mutton,steak,leek,bouquet garni,madeira wine,parsnip,carrots]"
Pamirdin,"[lamb and mutton,onions,carrots]"
White chocolate,"[milk solids,sucrose,cocoa butter]"
Seafoam salad,"[cream cheese,whipped cream,gelatine,pear,maraschino cherries]"
Seattle-style hot dog,"[cream cheese,hot dog,hot dog bun]"
Chile con queso,"[cream cheese,processed cheese,heavy cream,chili peppers,velveeta,monterey jack]"
Fruit fool,"[purée,whipped cream,sugar]"
Gujia,"[maida flour,semolina,khoya,whole wheat flour]"
Jalebi,"[maida flour,ghee,saffron,sugar]"
Mathri,"[maida flour,ghee,yogurt,semolina]"
Balushahi,"[maida flour,clarified butter,sugar]"
Mangalore bajji,"[maida flour,onions,jeera,coconut milk,curd,gram flour,chili peppers,coriander]"
Berliner (doughnut),"[marmalade,icing,powdered sugar,jam,yeast,sugar]"
Bath bun,"[zante currants,sultana (grape),raisins,sugar]"
Eccles cake,"[zante currants,peanut butter,flaky pastry]"
Black bun,"[zante currants,cinnamon,black pepper,zest (ingredient),raisins,almond meal,allspice,ginger]"
Saffron bun,"[zante currants,cinnamon,nutmeg,saffron,raisins]"
Dundee cake,"[zante currants,sultana (grape),almond meal]"
London bun,"[zante currants,baker's yeast,icing]"
Bara brith,"[zante currants,baker's yeast,candied peel,raisins]"
Banbury cake,"[zante currants,cinnamon,nutmeg,peanut butter,puff pastry,zest (ingredient)]"
Russian tea cake,"[nut (fruit),powdered sugar,peanut butter]"
Horsebread,"[nut (fruit),root crop,food grain,legume]"
Fruitcake,"[nut (fruit),spices,fruit,candied fruit]"
Bolo Rei,"[nut (fruit),candied fruit,dried fruits]"
Mukhwas,"[nut (fruit),list of edible seeds,essential oil]"
Caramel apple,"[nut (fruit),apple,caramel]"
Fruit bun,"[nut (fruit),spices,fruit,peel (fruit)]"
Leipziger Lerche,"[nut (fruit),shortcrust pastry,almond meal]"
Praline,"[nut (fruit),syrup,chocolate confectionery]"
Cezerye,"[nut (fruit),pistachios,coconut milk,carrots]"
Bridge mix,"[nut (fruit),fruit,white chocolate]"
Comfit,"[nut (fruit),spices,sugar candy,dried fruits]"
Vanillekipferl,"[nut (fruit),vanilla,almond meal]"
Teja (confectionery),"[nut (fruit),dried fruits,manjar blanco]"
Veggie burger,"[nut (fruit),edible mushroom,legume,seed,textured vegetable protein]"
Skolebrød,"[baker's yeast,custard,icing,coconut milk]"
Suikerbrood,"[baker's yeast,cinnamon,sugar]"
Ciabatta,"[baker's yeast,whole wheat flour]"
Colston bun,"[baker's yeast,spices,candied peel,dried fruits]"
Buchteln,"[baker's yeast,poppy seed,jam,curd]"
Matnakash,"[baker's yeast,sourdough starter,whole wheat flour]"
Chelsea bun,"[baker's yeast,cinnamon,zest (ingredient)]"
Hallulla,"[baker's yeast,peanut butter,whole wheat flour,vegetable shortening]"
Broa,"[baker's yeast,wheat,rye,corn meal]"
Gugelhupf,"[baker's yeast,kirschwasser,almond meal]"
Fun guo,"[gluten,peanut oil,shiitake,corn starch,ground meat,tapioca,potato starch,dried shrimp,garlic chives]"
Soup alla Canavese,"[parmesan cheese,cauliflower,black pepper,tomato sauce,common sage,onions,celery,peanut butter,parsley,carrots,soup stock,sodium chloride,bacon]"
Lepet,"[sticky rice,peanut oil,coconut milk]"
Funing big cake,"[sticky rice,vegetable oil,lard]"
Sopaipilla,"[shortening,leavening agent,masa harina,peanut butter,whole wheat flour]"
Frybread,"[shortening,leavening agent,cooking oil,lard]"
Galbitang,"[short ribs,onions,daikon]"
Bonfire toffee,"[margarine,molasses,peanut butter,sugar]"
Rice Krispies Treats,"[margarine,peanut butter,rice crispies,marshmallow creme]"
Cocktail bun,"[margarine,peanut butter,coconut milk]"
Kuih semperit,"[margarine,custard powder,whole wheat flour,corn meal,sugar]"
Dabby-Doughs,"[margarine,cinnamon,white sugar,peanut butter]"
Ginanggang,"[margarine,white sugar,peanut butter,saba banana]"
Ful medames,"[vegetable oil,cumin,vicia faba]"
Mooncake,"[vegetable oil,red bean paste,lard,lotus seed paste]"
Marie biscuit,"[vegetable oil,vanilla,sunflower seed oil,whole wheat flour,sugar]"
Almond Roca,"[vegetable oil,peanut butter,almond meal,white chocolate,sugar]"
Minties,"[vegetable oil,gelatine,mentha]"
Graham cracker crust,"[vegetable oil,peanut butter,graham cracker crust,sugar]"
Garlic fingers,"[garlic butter,cheddar cheese,parsley,bacon]"
Gaston Gérard Chicken,"[burgundy wine,chicken,lardon,heavy cream,mustard (condiment),grated cheese]"
Wafu dressing,"[rice vinegar,vegetable fats and oils,mirin,wa (japan)]"
Pudachi Vadi,"[list of indian spices,coconut milk,gram flour,chile powder,coriander]"
Dal,"[pea,lentils,beans]"
Mattar paneer,"[pea,tomato sauce,paneer,garam masala]"
Litti (cuisine),"[atta flour,ghee,spices,sattu]"
Pease pudding,"[split pea,spices,black peas]"
Sabudana Khichadi,"[ghee,peanut oil,coconut milk,chili peppers,tapioca pearls]"
Panjiri,"[ghee,whole wheat flour,dried fruits,natural gum,sugar]"
Mysore pak,"[ghee,gram flour,sugar]"
Hyderabadi haleem,"[ghee,lentils,saffron,goat meat,dried fruits]"
Kaju katli,"[ghee,cashew nut,sugar]"
Chhena kheeri,"[ghee,clarified butter,sugar]"
Imarti,"[ghee,urad (bean),saffron,sugar]"
Steak pie,"[pastry,steak,gravy]"
Jésuite,"[pastry,powdered sugar,frangipane,almond meal]"
Pain aux raisins,"[pastry,custard,raisins]"
Pīrādziņi,"[pastry,onions,bacon]"
Cheesecake,"[pastry,sponge cake,cheddar cheese,graham cracker crust,sugar]"
Rissole,"[pastry,bread crumbs,sweet,umami]"
Whoopie pie,"[gingerbread,icing,marshmallow creme]"
Gionbō,"[gyūhi,bean jam,sugar]"
Hyōrokumochi,"[gyūhi,nori,soy flour,green peas]"
Bun kebab,"[cumin,lentils,omelette]"
Gnudi,"[pecorino toscano,ricotta,spinach]"
Oil down,"[breadfruit,spices,chicken,coconut milk]"
Christmas pudding,"[treacle,suet,sugar]"
Gobstopper,"[beeswax,calcium stearate,cement,invert sugar,preservatives,food colouring,carnauba wax,sugar]"
Amanattō,"[azuki bean,beans,sugar]"
Mitsumame,"[azuki bean,fruit juice,agar]"
Trifle,"[sponge cake,custard,fruit,heavy cream,sherry]"
Yule log (cake),"[sponge cake,icing,white chocolate,genoise]"
Walnut and coffee cake,"[sponge cake,walnuts,coffee]"
Zuppa Inglese,"[sponge cake,custard,ladyfinger (cookie),alchermes]"
Tipsy cake,"[sponge cake,brandy,sherry]"
Amandine (dessert),"[sponge cake,almond meal,white chocolate]"
Opera cake,"[sponge cake,ganache,coffee]"
Erotic cake,"[sponge cake,food colouring,baking powder]"
Layer cake,"[sponge cake,icing,jam,butter cake]"
Charlotte (cake),"[sponge cake,custard,fruit,biscuit,brown bread]"
Frog cake,"[sponge cake,jam,fondant icing]"
Princess cake,"[sponge cake,powdered sugar,whipped cream,marzipan]"
Cassata,"[sponge cake,vanilla,icing,ricotta,fruit juice,liqueur,candied peel,marzipan,white chocolate]"
Boston cream pie,"[sponge cake,custard,heavy cream]"
Konro,"[rib,pangium edule,coriander]"
Gomguk,"[rib,head,brisket,oxtail]"
Toast Hawaii,"[pineapple,ham,cheddar cheese,toast,maraschino cherries]"
Watergate salad,"[pineapple,pistachio pudding,cool whip,marshmallow creme]"
Pineapple Lumps,"[pineapple,white chocolate,sugar]"
Cucurucho,"[pineapple,coconut milk,orange (fruit),guava,sugar]"
Happy Cake,"[pineapple,macadamia nut,coconut milk]"
Candle salad,"[pineapple,lettuce,saba banana,mayonnaise,cherry,cottage cheese]"
Ambrosia (fruit salad),"[pineapple,mandarin orange,coconut milk,marshmallow creme]"
Cookie salad,"[mandarin orange,vanilla,whipped cream]"
Corn burrito,"[corn tortilla,cheddar cheese,refried beans,hot sauce]"
Sincronizada,"[corn tortilla,ham,cheddar cheese]"
Quesadilla,"[corn tortilla,edible mushroom,meats,avocado,cheddar cheese,refried beans,salsa (sauce)]"
Fajita,"[corn tortilla,meats,onions,capsicum annuum]"
Chilaquiles,"[corn tortilla,chicken,refried beans,salsa (sauce),mole (sauce)]"
Empalme (food),"[corn tortilla,lard,refried beans,salsa (sauce)]"
Enchilada,"[corn tortilla,meats,chili peppers]"
Gordita,"[corn tortilla,stew,salsa (sauce)]"
Taho,"[sago,brown sugar,tofu]"
Binignit,"[sago,sweet potato,saba banana,coconut milk,taro,pearl sago]"
Mango pomelo sago,"[sago,pomelo,coconut milk,heavy cream,mango,sugar]"
Macaroni salad,"[macaroni,onions,celery,pickled cucumber,mayonnaise]"
Gougère,"[comté cheese,emmental cheese,gruyère (cheese),choux pastry]"
Lecsó,"[paprika,tomato sauce,onions,lard]"
Túrós csusza,"[pasta,quark (dairy product),noodles]"
Pasta con le sarde,"[pasta,anchovy,fennel,saffron,raisins,pine nuts,sardines,bread crumbs]"
Coconut bar,"[wheat starch,agar,corn starch,coconut milk,gelatine]"
Poke (fish salad),"[cinnamon,sea salt,soy sauce,sesame oil,chili peppers,limu (algae),yellowfin tuna]"
Stollen,"[cinnamon,spices,powdered sugar,icing sugar,candied fruit,dried fruits]"
Tea loaf,"[cinnamon,spices,fruit]"
Apple dumpling,"[cinnamon,dough,apple,raisins,sugar]"
Pio Quinto,"[cinnamon,custard,rum,cake]"
Ontbijtkoek,"[cinnamon,nutmeg,cloves,succade,rye,ginger]"
Bananas Foster,"[cinnamon,vanilla,brown sugar,peanut butter,saba banana,liqueur,rum]"
Atole,"[cinnamon,vanilla,masa,piloncillo]"
Birnbrot,"[cinnamon,apple,cloves,star anise,walnuts,raisins,candied fruit,common fig,dried fruits,anise seed,coriander]"
Reshteh khoshkar,"[cinnamon,spices,walnuts,cardamom,ginger,sugar]"
Tikka (food),"[curry,meats,marinade]"
Dopiaza,"[curry,meats,onions]"
Green curry,"[curry,kaffir lime,thai basil,coconut milk,palm sugar,fish sauce]"
Green bean casserole,"[cream of mushroom soup,green bean,fried onion]"
Tom kha kai,"[kaffir lime,chicken,coconut milk,mushrooms,galangal,lemon grass]"
Tom yum,"[kaffir lime,stock,chili peppers,galangal,lemon grass,fish sauce,lime (fruit)]"
Green goddess dressing,"[chervil,black pepper,anchovy,lemon,chives,sour cream,mayonnaise,tarragon]"
Gringas,"[quesadilla,meats,cheddar cheese]"
Groaty pudding,"[groats,onions,leek,stock]"
Kemplang,"[wahoo,tapioca flour,spanish mackerel]"
Amplang,"[wahoo,tapioca flour,spanish mackerel,spices]"
Guacamole,"[sea salt,avocado,lime (fruit)]"
Khichra,"[spices,lentils,meats]"
Islama köfte,"[spices,broth,meats,brown bread]"
Bagara khana,"[spices,basmati rice,chili peppers]"
Ginger nut,"[spices,nutmeg,ginger]"
Jalapeño popper,"[spices,ground meat,cheddar cheese,bread crumbs,jalapeño]"
Compote,"[spices,sugar syrup,fruit]"
Russian dressing,"[spices,ketchup,horseradish tree,chives,mayonnaise,pimentos]"
Chargha,"[spices,chicken,yogurt]"
Bhendi fry,"[spices,oil,okra]"
Shahi paneer,"[spices,paneer,heavy cream,tomatoes]"
Thalassery Cuisine,"[spices,chicken,kaima,jeerakasala]"
Hortobágyi palacsinta,"[spices,black pepper,veal,onions,sour cream]"
Aachener Printen,"[spices,cloves,anise seed,sugar beet,allspice,cardamom,ginger,coriander]"
Hyderabadi biryani,"[spices,meats,basmati rice]"
Pastilla,"[spices,broth,chicken,squab,offal]"
Guajolota,"[bolillo,telera,tamale]"
Yōkan,"[red bean paste,agar,sugar]"
Tongyeong Kkulbbang,"[red bean paste,dough,corn syrup]"
Ttongppang,"[red bean paste,walnuts,whole wheat flour]"
Hodugwaja,"[red bean paste,dough,walnuts]"
Nasi ambeng,"[tempeh,rempeyek,urap,frikadeller,opor ayam,salt-cured meat,rice vermicelli,sambal]"
Toffee,"[molasses,peanut butter,sugar]"
Anadama bread,"[molasses,wheat,corn meal]"
Caramel corn,"[molasses,caramel,popcorn]"
Brown bread,"[molasses,wheat,coffee,whole grain]"
Scone,"[wheat,barley,goat meat]"
Tunnbröd,"[wheat,barley,rye]"
Haleem,"[wheat,lentils,meats,barley]"
Harees,"[wheat,meats,peanut butter]"
Međimurska gibanica,"[poppy seed,apple,puff pastry,walnuts,quark (dairy product)]"
Spoom,"[wine,fruit juice,champagne (wine),sherry,port]"
Hasenpfeffer,"[wine,rabbit,hare,onions]"
Gumbo,"[filé powder,celery,okra,roux,bell peppers]"
Hujiao bing,"[black pepper,scallions,soy sauce,white pepper,sugar]"
Pearà,"[black pepper,stock,bone marrow,bread crumbs]"
Bánh tẻ,"[black pepper,onions,glutinous rice flour,ground meat,auricularia auricula-judae]"
Rabbit pie,"[rabbit,onions,celery,carrots]"
Czernina,"[rabbit,broth,chicken,pig,blood as food]"
Modeling chocolate,"[glucose syrup,golden syrup,corn syrup,white chocolate]"
Kréma,"[glucose syrup,skim milk,hydrogenated vegetable oil,gelatine,sugar]"
Flapper pie,"[custard,meringue,graham cracker crust]"
Banana pudding,"[custard,vanilla,saba banana,cookie,ladyfinger (cookie)]"
Buko pie,"[custard,young coconut,sweetened condensed milk]"
Chouquette,"[custard,nib sugar,mousse,choux pastry]"
Manchester tart,"[custard,shortcrust pastry,jam,coconut milk,maraschino cherries]"
Cremeschnitte,"[custard,puff pastry,chantilly cream]"
Gundel pancake,"[chocolate sauce,rum,walnuts,raisins,cocoa solids,heavy cream]"
Waldorf pudding,"[vanilla,nutmeg,sultana (grape)]"
Risalamande,"[vanilla,whipped cream,rice pudding,almond meal]"
Hard sauce,"[vanilla,whiskey,peanut butter,rum,brandy,sherry,sugar]"
Gizzada,"[vanilla,nutmeg,coconut milk,sugar]"
Creme de papaya,"[vanilla,black currant,papaya,crème de cassis]"
Ice cream sandwich,"[vanilla,biscuit,cookie,cake]"
Tompouce,"[icing,puff pastry,pastry cream]"
Long John (doughnut),"[icing,dough,glaze (cooking technique)]"
Pączki,"[icing,dough,powdered sugar,zest (ingredient),confiture,grain alcohol]"
Cardamom bread,"[icing,walnuts,cardamom]"
Carac (pastry),"[icing,pie crust,white chocolate]"
Cookie Cake Pie,"[icing,cookie dough,cake,pie crust]"
Cake balls,"[icing,cake,white chocolate]"
Gundain,"[cheese curds,brown sugar,tsampa,barley,ginseng]"
Gyabrag,"[cheese curds,barley,yak butter,sugar]"
Zwiebelkuchen,"[dough,onions,heavy cream,caraway,bacon]"
Maple bacon donut,"[dough,maple syrup,bacon]"
Manakish,"[dough,ground meat,cheddar cheese,thyme]"
Curry bread,"[dough,bread crumbs,japanese curry]"
Gogoși,"[dough,jam,cheddar cheese,white chocolate]"
Frittole (doughnut),"[dough,zest (ingredient),raisins]"
Kouign-amann,"[dough,peanut butter,sugar]"
Papza Mogu,"[dough,brown sugar,peanut butter,quark (dairy product)]"
Marillenknödel,"[dough,apricot jam,powdered sugar]"
Ciarduna,"[ricotta,almond meal,mascarpone]"
Pastizz,"[ricotta,phyllo,mushy peas]"
Geplak,"[food colouring,coconut milk,sugar]"
Seven-layer dip,"[olive (fruit),tomato sauce,sour cream,refried beans,guacamole,pico de gallo,salsa verde (mexico),salsa (sauce)]"
Tekwan,"[fish cake,scallions,shallots,celery,mushrooms,dried shrimp,rice vermicelli,jicama]"
Hagebuttenmark,"[rose hip,red wine,sugar]"
Haggis,"[sausage casing,onions,suet,goat meat,offal]"
Summer pudding,"[fruit juice,fruit,brown bread]"
Fruit salad,"[fruit juice,fruit,syrup]"
Ching bo leung,"[seaweed,longan,lotus seed,jujube,job's tears,sugar]"
Xi gua lao,"[agar,cherry,watermelon,sugar]"
Coffee jelly,"[agar,gelatine,sugar]"
Coda alla vaccinara,"[oxtail,celery,carrots]"
Sandwich,"[sauces,meats,brown bread,cheddar cheese,spread,salad vegetable]"
Baked ziti,"[sauces,ziti,cheddar cheese]"
Tartar sauce,"[caper,lemon juice,mayonnaise,tarragon,gherkin]"
Ham salad,"[salad dressing,ham,mayonnaise]"
Handvo,"[bottle gourd,lentils,sesame oil,whole wheat flour]"
Antipasto,"[edible mushroom,anchovy,artichoke,cured meat,pickled meat,peperoncini,cheddar cheese,olives]"
Botok,"[anchovy,banana leaf,tofu]"
Buntil,"[anchovy,coconut milk,taro,papaya]"
Happy Faces,"[shortcake,jam,heavy cream]"
Knieperkohl,"[kale,white cabbage,collard greens]"
Bindaetteok,"[scallions,kimchi,mung bean]"
Lo mai gai,"[scallions,shiitake,dried shrimp,chinese sausage]"
Lobster roll,"[scallions,celery,peanut butter,lobster,new england-style hot dog bun,mayonnaise,bread roll]"
White cut chicken,"[scallions,chicken,cilantro,ginger]"
Jaecheopguk,"[scallions,garlic chives,clam]"
Udon,"[scallions,broth,soy sauce,mirin,noodles]"
Bánh hỏi,"[scallions,rice vermicelli,garlic chives]"
Louis dressing,"[scallions,mayonnaise,chili peppers]"
Har gow,"[scallions,soy sauce,bamboo shoot,corn starch,sesame oil,dried shrimp]"
Cornish fairing,"[golden syrup,mixed spices,ginger]"
Honeycomb toffee,"[golden syrup,brown sugar,baking soda,corn syrup]"
Knäck,"[golden syrup,peanut butter,heavy cream,sugar]"
Kendal Mint Cake,"[glucose,peppermint,sugar]"
Proja,"[baking powder,oil,sparkling water,corn meal]"
Smulpaj,"[apple,bilberry,peanut butter,whole wheat flour,goat meat,rhubarb,sugar]"
Tufahije,"[apple,walnuts,sugar]"
Waldorf salad,"[apple,celery,walnuts,mayonnaise]"
Žemlovka,"[apple,veka (pastry),rohlík]"
Norman Tart,"[apple,shortcrust pastry,almond meal,sugar]"
Aplets & Cotlets,"[apple,apricot jam,powdered sugar,walnuts]"
Apple soup,"[apple,apple cider,broth,onions]"
Candy apple,"[apple,toffee,sugar]"
Brown Betty (dessert),"[apple,peanut butter,pear,berry,bread crumbs]"
Sachertorte,"[apricot jam,white chocolate]"
Punschkrapfen,"[apricot jam,nougat,rum]"
Mille-feuille,"[powdered sugar,puff pastry,pastry cream]"
Clafoutis,"[powdered sugar,flan,black cherry]"
Puppy chow,"[powdered sugar,peanut butter,cereal germ,white chocolate]"
United States military chocolate,"[oat,powdered milk,cocoa butter,artificial flavoring,white chocolate,sugar]"
Turon (food),"[brown sugar,saba banana,jackfruit]"
Rumaki,"[brown sugar,soy sauce,chicken,eleocharis dulcis,liver,bacon,ginger]"
Camote cue,"[brown sugar,sweet potato,cooking oil]"
Masan (pastry),"[brown sugar,tsampa,yak butter]"
Banana cue,"[brown sugar,saba banana,cooking oil]"
Kalamay,"[brown sugar,glutinous rice flour,coconut milk]"
Hot Brown,"[turkey,mornay sauce,bacon]"
Vori vori,"[broth,cheddar cheese,stock,corn meal]"
Cow cod soup,"[broth,saba banana,bull penis,scotch bonnet (pepper)]"
Rosół,"[broth,chicken,noodles]"
Singapore-style noodles,"[soy sauce,bean sprouts,chili peppers,curry powder,rice vermicelli,pak choi]"
Beef chow fun,"[soy sauce,onions,bean sprouts]"
Bakmi,"[soy sauce,ground meat,whole wheat flour]"
Char kway teow,"[soy sauce,prawns,bean sprouts,shahe fen,chili peppers,garlic chives,belachan,blood cockle]"
Huel,"[flaxseed,pea protein,sunflower seed oil,oats]"
Bánh tét,"[banana leaf,glutinous rice flour,mung bean]"
Pepes,"[banana leaf,mushrooms,tofu]"
Hwajeon,"[jeon,edible flowers,tteok]"
Masala puri,"[tomato sauce,onions,sev,puri,green peas,chile powder,coriander]"
Taco salad,"[tomato sauce,lettuce,cheddar cheese,sour cream,guacamole,salsa (sauce),flour tortilla (mexico)]"
Piperade,"[tomato sauce,espelette pepper,onions,bell peppers]"
Breakfast roll,"[tomato sauce,sausage,ketchup,black pudding,mushrooms,white pudding,bread roll,brown sauce (meat stock based),bacon]"
Çoban salatası,"[tomato sauce,onions,parsley,sea cucumber,bell peppers]"
Bún riêu,"[tomato sauce,meats,shrimp paste,rice vermicelli]"
Bosna (sausage),"[tomato sauce,onions,white bread,curry powder,bratwurst,mustard (condiment)]"
Chili con carne,"[tomato sauce,meats,beans,chili peppers]"
BLT,"[tomato sauce,lettuce,brown bread,bacon]"
Kachumber,"[tomato sauce,onions,chili peppers,sea cucumber]"
Penne alla vodka,"[tomato sauce,onions,heavy cream,vodka,penne]"
Israeli salad,"[tomato sauce,onions,parsley,chili peppers,sea cucumber,bell peppers]"
Bob chorba,"[tomato sauce,onions,beans,spearmint,summer savory,carrots]"
Chicken riggies,"[tomato sauce,chicken,capsicum annuum,rigatoni]"
Quad City-style pizza,"[tomato sauce,malt,cheddar cheese]"
Italian tomato pie,"[tomato sauce,focaccia,romano cheese]"
Pizza bagel,"[tomato sauce,bagel,cheddar cheese]"
Spaghetti with meatballs,"[tomato sauce,spaghetti,meatball]"
Shopska salad,"[tomato sauce,onions,sirene,capsicum annuum,parsley,sea cucumber]"
Phall,"[tomato sauce,chili peppers,habanero,ginger]"
Pebete,"[tomato sauce,bun,cheddar cheese,mayonnaise,curing (food preservation)]"
Completo,"[tomato sauce,avocado,sausage,brown bread,sauerkraut,mayonnaise]"
Axoa,"[tomato sauce,veal,espelette pepper,onions]"
Serranito,"[tomato sauce,meats,brown bread,jamón serrano]"
Choripán,"[chorizo,brown bread,baguette]"
Paella,"[chicken,white rice,rabbit meat]"
Seblak,"[chicken,shallots,krupuk,seafood,kaempferia galanga]"
Suya,"[chicken,meats,dried shrimp]"
Tinola,"[chicken,onions,fish sauce,siling labuyo,ginger]"
Brown stew chicken,"[chicken,onions,carrots,scotch bonnet (pepper)]"
Bánh bao,"[chicken,onions,ground meat,chinese sausage]"
Buffalo wing,"[chicken,peanut butter,cayenne pepper]"
Pozharsky cutlet,"[chicken,veal,peanut butter,bread crumbs]"
Country Captain,"[chicken,onions,golden raisin,curry powder,almond meal]"
Cordon bleu (dish),"[chicken,veal,ham,cheddar cheese,bread crumbs]"
Chinese chicken salad,"[chicken,lettuce,sesame oil,chinese noodles,ginger]"
Chicken and mushroom pie,"[chicken,mushrooms,heavy cream]"
Arròs negre,"[squid,white rice,cuttlefish,cephalopod ink,cubanelle]"
Saffron rice,"[white rice,saffron,bouillon cube]"
Instant soup,"[food preservation,drying,stock]"
Shrikhand,"[yogurt,saffron,cardamom,sugar]"
Dahi chutney,"[yogurt,onions,mentha,chili peppers]"
Raita,"[yogurt,mentha,sea cucumber]"
Crudos,"[yogurt,onions,brown bread,mayonnaise]"
Haggis pakora,"[yogurt,onions,suet,gram flour,goat meat,offal]"
Dahi puri,"[yogurt,onions,sev,puri,moong dal,chile powder,coriander]"
Cucumber raita,"[yogurt,curd,sea cucumber]"
Rumtopf,"[fruit,rum,sugar]"
Jello salad,"[fruit,gelatine,carrots]"
Cordial (candy),"[fruit,invertase,white chocolate]"
Candied fruit,"[fruit,syrup,peel (fruit)]"
Chalupa,"[masa,lettuce,cheddar cheese,salsa (sauce)]"
Jell-O,"[artificial sweetener,gelatine,sugar]"
Chingudi Jhola,"[prawns,mustard oil,garam masala]"
Prawn roll,"[prawns,lettuce,white bread]"
Sussex pond pudding,"[lemon,peanut butter,suet,sugar]"
Crème Ninon,"[lemon,stock,champagne (wine),sherry]"
Lady Grey (tea),"[lemon,black tea,bergamot orange,peel (fruit),orange (fruit)]"
Pistolette,"[meats,bread roll,seafood]"
Dagwood sandwich,"[meats,condiment,brown bread,cheddar cheese]"
Börek,"[meats,phyllo,cheddar cheese,filo]"
Pinangat,"[meats,coconut milk,taro]"
Pasulj,"[meats,beans,smoked meat,white bean]"
Compote (game dish),"[game,pearl onion,roux,bacon]"
Es doger,"[avocado,coconut milk,jackfruit]"
Avocado salad,"[avocado,spring onions,lemon juice]"
Cheese slaw,"[spring onions,grated cheese,grater]"
Baik kut kyee kaik,"[spring onions,bean sprouts,shahe fen,dark soy sauce]"
Sour rye soup,"[fermentation starter,sausage,ham,bacon]"
Jiuniang,"[fermentation starter,aspergillus oryzae,glutinous rice flour]"
Palak paneer,"[spinach,paneer,tomato gravy]"
Maultasche,"[spinach,onions,ground meat,smoked meat,bread crumbs]"
Putnis,"[mustard seed,coconut milk,curd,chili peppers,turmeric powder]"
Cajuzinho,"[peanut oil,cashew nut,sugar]"
Tiết canh,"[peanut oil,mentha,blood as food,fish sauce,vietnamese coriander]"
Khauk swè thoke,"[peanut oil,fish sauce,lime (fruit)]"
Veal Orloff,"[veal,onions,cheddar cheese,mushrooms,bechamel sauce]"
Cachopo (dish),"[veal,ham,bread crumbs]"
Kalakukko,"[european perch,coregonus albula,salmon]"
Kalamai (dessert),"[masa harina,coconut milk,sugar]"
Kanafeh,"[kaymak,pistachios,cheddar cheese,rose water,sugar]"
Quince dessert,"[kaymak,cloves,walnuts,quince,sugar]"
Ketoprak (dish),"[shallots,krupuk,kecap manis,lontong,ketupat,bean sprouts,peanut sauce,tofu,sea cucumber,rice vermicelli]"
Coconut chutney,"[shallots,coconut milk,chili peppers,curry leaves,tamarind,ginger]"
Rag pudding,"[onions,ground meat,suet]"
French onion soup,"[onions,cheddar cheese,stock,crouton]"
Chili dog,"[onions,hot dog,cheddar cheese,mustard (condiment),chili con carne,hot dog bun]"
Porilainen,"[onions,sausage,ketchup,pickled cucumber,white bread,mustard (condiment)]"
Kottenbutter,"[onions,brown bread,peanut butter,mustard (condiment)]"
Patty melt,"[onions,rye bread,cheddar cheese,patty]"
Moin moin,"[onions,beans,black-eyed peas]"
Carolina style,"[onions,chili con carne,cole slaw]"
Tortillitas de camarones,"[onions,gram flour,whole wheat flour,parsley,dried shrimp]"
Tarte flambée,"[onions,lardon,crème fraîche,fromage frais]"
Maxwell Street Polish,"[onions,bun,kielbasa,capsicum annuum,mustard (condiment)]"
Sweet potato soup,"[sweet potato,rock candy,ginger]"
Conkies,"[sweet potato,coconut milk,pumpkin,corn meal]"
Picarones,"[sweet potato,chancaca,squash (plant)]"
Zongzi,"[bamboo shoot,glutinous rice flour,reed (plant)]"
Gyaho,"[bamboo shoot,mushrooms,rice vermicelli,kombu,meatball]"
Kissel,"[corn starch,arrowroot,potato starch]"
Hobakjuk,"[glutinous rice flour,pumpkin,squash (plant)]"
Wajik,"[glutinous rice flour,coconut milk,palm sugar]"
Bubur ketan hitam,"[glutinous rice flour,cane sugar,coconut milk,palm sugar]"
Yaksik,"[glutinous rice flour,pine nuts,jujube,chestnuts]"
Chè trôi nước,"[glutinous rice flour,mung bean,ginger,sugar]"
Lupis (food),"[glutinous rice flour,coconut milk,palm sugar]"
Chapssaltteok,"[glutinous rice flour,sweet bean paste,rice cake]"
Lontong Cap Go Meh,"[lontong,sayur lodeh,sambal]"
Tauge goreng,"[bean sprouts,tofu,oncom]"
Ketwurst,"[bockwurst,ketchup,bread roll]"
Wurstbrot,"[sausage,brown bread,cold cuts]"
Bacon sandwich,"[brown sauce,condiment,ketchup,back bacon,brown bread]"
Bologna sandwich,"[condiment,white bread,bologna sausage]"
Caramel shortbread,"[caramel,shortbread,white chocolate]"
Hopje,"[caramel,peanut butter,coffee,heavy cream]"
Bacon sundae,"[caramel,hot fudge,bacon]"
Croquembouche,"[caramel,profiteroles,white chocolate]"
Sour cherry soup,"[prunus cerasus,sour cream,sugar]"
Rum ball,"[biscuit,jam,rum,cocoa solids,sweetened condensed milk,white chocolate]"
Rømmegraut,"[whole milk,peanut butter,whole wheat flour,sour cream]"
Danger dog,"[hot dog,hot dog bun,bacon]"
Cheese dog,"[hot dog,cheddar cheese,processed cheese]"
Kokoretsi,"[heart,lung,kidney,domestic sheep,goat,offal]"
Rassolnik,"[kidney,pearl barley,pickled cucumber]"
Kolak,"[pandanus,coconut milk,palm sugar]"
Sfouf,"[semolina,pine nuts,turmeric powder,sugar]"
Bougatsa,"[semolina,phyllo,ground meat,cheddar cheese]"
Basbousa,"[semolina,syrup,farina]"
Toast sandwich,"[brown bread,peanut butter,toast]"
Cheese dream,"[brown bread,peanut butter,cheddar cheese]"
